track_name,released_year,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,mode,energy,instrumentalness,liveness,speechiness
Something in the Orange,2022,3282,12.0,449701773,67,84.0,110,Major,38,0,12,3
VOID,2023,596,0.0,67070410,29,9.0,100,Major,66,4,19,4
Dijeron Que No La Iba Lograr,2023,320,6.0,116334601,5,48.0,142,Minor,79,0,11,7
Midnight Rain,2022,2612,4.0,433356509,19,29.0,140,Major,37,0,12,7
If We Ever Broke Up,2023,2040,4.0,165584767,81,27.0,116,Major,73,0,9,4
You Proof,2022,2128,9.0,367814306,37,88.0,120,Major,85,0,61,3
LA INOCENTE,2022,2598,37.0,477033549,28,57.0,92,Minor,79,0,7,6
Malas Decisiones,2022,542,2.0,156214700,23,2.0,110,Minor,79,0,31,3
Murder In My Mind,2022,2459,20.0,448843705,20,68.0,120,Major,97,0,13,11
Gangsta's Paradise,1995,10624,17.0,1357608774,21,0.0,80,Major,61,0,56,6
CAIRO,2022,2418,26.0,294352144,52,66.0,115,Minor,69,0,9,31
I Love You So,2014,7536,7.0,972164968,44,19.0,76,Major,67,0,13,4
Dark Red,2017,10431,7.0,920045682,71,53.0,172,Major,78,0,12,6
Say You Won't Let Go,2016,15722,16.0,2420461338,231,37.0,99,Major,56,0,9,5
The Hills,2015,25744,4.0,1947371785,122,94.0,136,Minor,57,0,14,8
Heart To Heart,2019,1640,0.0,244658767,27,27.0,150,Minor,14,35,11,10
Peaches (from The Super Mario Bros. Movie),2023,34,0.0,68216992,0,0.0,92,Minor,31,0,10,5
Marisola - Remix,2022,1845,16.0,223582566,20,8.0,95,Major,87,0,7,5
LOKERA,2022,3301,30.0,471819764,72,64.0,102,Minor,83,0,10,5
Low,2022,1911,0.0,272377463,23,71.0,145,Minor,55,0,16,6
Numb,2003,20111,5.0,1361425037,39,0.0,110,Major,86,0,64,4
Tormenta (feat. Bad Bunny),2023,1529,0.0,149778242,32,18.0,95,Major,77,0,38,6
on the street (with J. Cole),2023,615,2.0,116599790,22,82.0,94,Minor,82,0,9,13
One Thing At A Time,2022,811,4.0,148469433,11,58.0,142,Major,91,0,26,3
Miss You,2022,5730,10.0,497225336,108,16.0,145,Minor,74,0,15,5
Ainï¿½ï¿½ï¿½t Tha,2023,356,4.0,88791109,4,20.0,121,Minor,80,0,36,3
Thinkinï¿½ï¿½ï¿½ B,2023,604,6.0,125917280,22,101.0,140,Minor,76,0,12,3
Private Landing (feat. Justin Bieber & Future),2023,1190,0.0,105062254,29,3.0,137,Minor,67,0,11,6
Everything I Love,2023,579,0.0,95623148,11,54.0,104,Major,85,0,15,3
Heaven,2023,1553,2.0,144584800,61,6.0,92,Major,76,0,33,3
LET GO,2022,2301,20.0,298063749,49,23.0,146,Minor,45,0,21,38
Sial,2023,134,4.0,166570053,4,6.0,120,Major,43,0,12,4
I Wrote The Book,2023,430,0.0,83021468,15,17.0,144,Major,81,0,8,4
"Apna Bana Le (From ""Bhediya"")",2022,86,0.0,139836056,11,101.0,94,Major,56,0,6,3
SPIT IN MY FACE!,2022,629,14.0,303216294,32,3.0,94,Major,79,2,11,6
PLAYA DEL INGLï¿½,2022,1701,15.0,221409663,30,15.0,113,Minor,74,0,11,5
Man Made A Bar (feat. Eric Church),2023,329,0.0,58890931,14,35.0,148,Major,76,0,12,3
Red Ruby Da Sleeze,2023,1168,0.0,81419389,45,11.0,98,Major,73,0,11,26
Kahani Suno 2.0,2022,162,6.0,156777415,1,10.0,140,Major,38,0,10,4
Nobody Gets Me,2022,2536,6.0,284908316,59,100.0,100,Major,28,0,18,3
PERO Tï¿,2023,387,11.0,93438910,11,15.0,140,Major,79,0,11,29
Hype Boy,2022,892,17.0,363472647,20,119.0,100,Minor,94,0,29,23
Bloody Mary,2011,3909,0.0,372476382,66,26.0,100,Minor,65,0,13,3
Monotonï¿½,2022,3645,15.0,380726517,118,34.0,132,Minor,70,0,21,5
ýýý98 Braves,2023,282,0.0,56533272,6,15.0,142,Major,67,0,26,3
WANDA,2023,888,22.0,175399345,11,24.0,176,Minor,63,0,21,7
Thought You Should Know,2022,968,4.0,203221468,16,53.0,140,Major,70,0,14,3
In The End,2000,25065,6.0,1624165576,63,0.0,105,Minor,90,0,32,6
Zona De Perigo,2022,531,4.0,134294498,20,1.0,135,Major,77,0,35,3
Lovezinho,2022,242,0.0,70069745,12,2.0,128,Minor,59,0,12,4
I Like You (A Happier Song) (with Doja Cat),2022,5281,14.0,609293408,94,21.0,101,Major,69,0,12,7
Neverita,2022,2590,30.0,671365962,20,64.0,122,Major,50,0,14,5
Vista Al Mar,2022,1769,34.0,362361576,16,19.0,105,Minor,56,12,10,13
Sem Alianï¿½ï¿½a no ,2022,454,4.0,93587665,6,1.0,83,Major,36,0,11,33
Enemy (with JID) - from the series Arcane League of Legends,2021,6180,7.0,1223481149,122,88.0,77,Minor,76,0,42,28
Revenge,2017,3600,11.0,1022258230,7,0.0,140,Minor,25,0,11,26
Bombonzinho - Ao Vivo,2022,1254,6.0,263453310,26,69.0,158,Major,95,0,92,5
LA CANCIï¿½,2019,6398,31.0,1435127549,177,109.0,176,Major,65,0,11,32
Quï¿½ï¿½ Ago,2022,660,15.0,236857112,19,59.0,98,Major,57,0,5,2
Love Again,2023,1283,0.0,147538971,57,4.0,107,Minor,40,0,11,3
After Hours,2020,8084,6.0,698086140,45,115.0,109,Minor,57,1,12,3
About Damn Time,2022,2332,2.0,723894473,0,0.0,109,Minor,74,0,34,7
Born With A Beer In My Hand,2023,203,0.0,34450974,5,9.0,148,Major,81,0,36,4
ýýýýýýýýýýýýýýýýýýýýý,2020,685,14.0,403097450,24,94.0,158,Minor,76,0,19,5
Besos Moja2,2022,2460,13.0,309483971,53,7.0,94,Minor,73,0,10,6
Maan Meri Jaan,2022,288,6.0,319566866,11,80.0,96,Minor,51,0,10,4
Moscow Mule,2022,4572,33.0,909001996,74,113.0,100,Minor,67,0,12,3
My Universe,2021,6127,13.0,1061966512,0,0.0,105,Major,68,0,14,4
Devil Donï¿½ï¿½ï¿½,2023,166,0.0,32526947,2,10.0,125,Major,66,0,9,3
LLYLM,2023,1838,0.0,124988687,105,41.0,170,Minor,63,0,19,27
I'm Not Here To Make Friends,2023,1890,0.0,103787664,86,1.0,115,Major,90,0,41,6
TRUSTFALL,2023,2098,16.0,134255790,88,24.0,122,Major,89,0,15,9
ANTIFRAGILE,2022,761,12.0,301051721,23,95.0,105,Minor,80,0,11,8
Boy's a liar,2022,1225,0.0,156338624,27,0.0,133,Major,84,0,21,4
VIBE (feat. Jimin of BTS),2023,415,2.0,152850295,15,40.0,100,Major,68,0,26,4
Shirt,2022,3469,0.0,309653982,71,95.0,120,Minor,45,3,9,10
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,2022,3311,0.0,297328960,129,31.0,177,Major,30,0,13,3
STAR WALKIN' (League of Legends Worlds Anthem),2022,2616,0.0,332506354,113,17.0,142,Minor,72,0,9,5
"Sex, Drugs, Etc.",2016,3006,16.0,480507035,47,60.0,144,Minor,84,1,52,4
Boy With Luv (feat. Halsey),2019,4260,0.0,1065580332,113,92.0,120,Minor,86,0,19,10
"Hey, Mickey!",2016,482,0.0,122763672,9,1.0,135,Major,51,0,15,6
Calm Down,2022,4013,10.0,445763624,107,44.0,107,Major,78,0,12,4
Jhoome Jo Pathaan,2022,138,4.0,1365184,13,78.0,105,Major,74,0,33,7
Escapism. - Sped Up,2022,1368,0.0,184308753,12,1.0,108,Minor,77,0,9,20
Space Song,2015,17852,4.0,789753877,69,76.0,147,Minor,79,13,14,3
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],2022,889,20.0,323358833,11,78.0,115,Major,88,0,44,4
Te Felicito,2022,4796,9.0,606361689,124,66.0,174,Major,64,0,8,32
Muï¿½ï¿½,2023,658,6.0,120972253,33,7.0,90,Minor,71,0,31,8
TV,2022,3009,2.0,338564981,68,89.0,141,Minor,25,1,14,4
I'm Not The Only One,2014,17492,3.0,1606986953,136,24.0,82,Major,49,0,8,4
Heather,2020,6170,7.0,1301799902,82,1.0,92,Major,43,0,32,3
"Besharam Rang (From ""Pathaan"")",2022,130,4.0,140187018,21,79.0,116,Minor,80,0,15,4
One Kiss (with Dua Lipa),2017,27705,10.0,1897517891,537,122.0,124,Minor,86,0,8,11
Sugar Rush Ride,2023,359,0.0,107642809,12,56.0,125,Minor,89,0,17,9
Pink Venom,2022,1963,16.0,551305895,57,119.0,90,Major,69,0,27,10
WAIT FOR U (feat. Drake & Tems),2022,5491,14.0,556585270,128,84.0,83,Major,64,0,7,34
Don't Start Now,2019,27119,0.0,2303033973,532,77.0,124,Minor,79,0,10,8
After Dark,2014,1776,14.0,646886885,1,9.0,140,Major,60,41,8,3
Eu Gosto Assim - Ao Vivo,2022,1473,4.0,222612678,27,64.0,154,Major,91,0,72,4
INDUSTRY BABY (feat. Jack Harlow),2021,13315,0.0,1814349763,300,47.0,150,Minor,70,0,5,6
MIDDLE OF THE NIGHT,2020,4057,8.0,872137015,78,21.0,186,Minor,61,0,12,5
Atlantis,2015,3045,6.0,571386359,43,53.0,166,Minor,48,0,12,3
PUNTO 40,2022,3006,12.0,304079786,54,32.0,107,Major,83,4,31,9
Evoque Prata,2022,852,0.0,174006928,14,1.0,87,Major,52,0,28,24
How Do I Say Goodbye,2022,2163,15.0,284785823,72,97.0,82,Major,64,0,7,7
Blind,2022,1484,0.0,163284000,22,51.0,114,Minor,28,0,21,4
Die For You,2022,1703,0.0,246390068,38,45.0,148,Major,52,13,29,5
Doja,2022,4169,44.0,482257456,57,44.0,140,Major,57,0,40,29
Gatita,2022,1054,0.0,168684524,9,0.0,101,Major,81,24,33,6
Rumble,2022,2849,0.0,78489819,39,45.0,140,Minor,84,23,6,6
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],2022,1602,0.0,195516622,12,22.0,88,Minor,66,0,18,29
Yonaguni,2021,9644,28.0,1260594497,120,86.0,180,Major,65,0,14,12
Super Freaky Girl,2022,4827,0.0,428685680,104,17.0,133,Major,89,0,31,24
Running Up That Hill (A Deal With God),1985,21811,0.0,1024858327,117,1.0,108,Minor,55,0,6,6
Dream On,1973,168,0.0,838586769,0,0.0,80,Minor,43,0,23,3
Limbo,2022,688,0.0,199386237,14,1.0,75,Minor,62,6,11,46
Where Are You Now,2021,10565,44.0,972509632,238,122.0,121,Minor,64,0,17,10
WORTH NOTHING,2022,1612,0.0,213438580,34,54.0,140,Minor,62,0,20,8
Bad Habits,2020,12755,8.0,1555511105,344,97.0,126,Minor,90,0,36,3
KICK BACK,2022,574,4.0,210038833,38,101.0,102,Major,94,0,9,11
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,2022,2499,0.0,227918678,70,0.0,82,Major,34,1,11,4
Good Days,2020,10426,2.0,826623384,133,109.0,121,Minor,78,0,72,6
Levitating (feat. DaBaby),2020,15894,8.0,1802514301,198,13.0,103,Minor,83,0,7,6
Woman,2021,9424,0.0,1329090101,202,50.0,108,Minor,76,0,12,9
Shut up My Moms Calling - (Sped Up),2022,713,7.0,181831132,2,4.0,85,Minor,47,0,12,10
Ferrari,2022,7758,28.0,462791599,173,79.0,125,Minor,69,0,5,5
"You're On Your Own, Kid",2022,2537,2.0,348647203,8,18.0,120,Major,39,0,13,6
"Kesariya (From ""Brahmastra"")",2022,292,6.0,366599607,26,98.0,94,Major,57,0,10,3
Agudo Mï¿½ï¿½gi,1930,323,0.0,90598517,4,0.0,130,Minor,80,4,7,5
Payphone,2012,14143,4.0,1479264469,56,38.0,110,Major,74,0,29,4
All I Want for Christmas Is You,1994,25653,0.0,1449779435,387,132.0,150,Major,63,0,7,4
Last Christmas,1984,22153,0.0,1159176109,274,111.0,107,Minor,65,0,46,3
Rockin' Around The Christmas Tree,1958,14994,0.0,769213520,191,168.0,140,Major,41,0,45,5
Jingle Bell Rock,1957,10326,0.0,741301563,165,99.0,119,Major,37,0,6,3
It's Beginning To Look A Lot Like Christmas,2011,12353,0.0,807561936,35,0.0,93,Major,23,0,29,3
Santa Tell Me,2013,9408,0.0,834129063,231,106.0,133,Major,63,0,30,18
It's the Most Wonderful Time of the Year,1963,8879,0.0,663832097,182,107.0,202,Major,60,0,12,4
Let It Snow! Let It Snow! Let It Snow!,1959,6512,0.0,446390129,88,1.0,134,Major,24,0,18,4
Snowman,2017,5140,0.0,690104769,85,110.0,105,Major,51,0,9,3
Underneath the Tree,2013,6596,0.0,485285717,144,99.0,160,Major,81,0,21,5
Feliz Navidad,1970,3788,0.0,520034544,21,3.0,148,Major,82,0,34,4
Holly Jolly Christmas,2011,7655,0.0,476244795,5,0.0,151,Major,47,0,9,4
Mistletoe,2011,9577,0.0,629173063,195,111.0,162,Minor,54,0,9,4
Sleigh Ride,1963,10114,0.0,404664135,114,74.0,92,Major,77,0,32,3
Seek & Destroy,2022,1007,0.0,98709329,5,31.0,152,Major,65,18,21,7
Love Language,2022,1127,0.0,110849052,16,63.0,65,Minor,26,0,13,8
Happy Xmas (War Is Over),1971,10829,0.0,460492795,130,1.0,147,Major,61,0,77,3
Used (feat. Don Toliver),2022,1042,0.0,94005786,7,29.0,150,Minor,69,0,32,9
A Holly Jolly Christmas - Single Version,1952,7930,0.0,395591396,108,120.0,140,Major,36,0,15,3
The Christmas Song (Merry Christmas To You) - Remastered 1999,1946,11500,0.0,389771964,140,72.0,139,Major,15,0,11,4
Wonderful Christmastime - Edited Version / Remastered 2011,1979,1685,0.0,403939487,1,0.0,95,Major,58,0,9,3
Do They Know It's Christmas? - 1984 Version,1984,14169,0.0,481697415,209,30.0,115,Major,57,2,27,3
Ghost in the Machine (feat. Phoebe Bridgers),2022,1634,0.0,110073250,16,20.0,125,Major,43,3,11,5
Special,2022,906,0.0,88092256,6,21.0,76,Major,20,0,11,5
Merry Christmas Everyone,1984,1087,0.0,351636786,90,35.0,101,Minor,87,0,13,3
Let It Snow! Let It Snow! Let It Snow!,1950,10585,0.0,473248298,126,108.0,143,Major,32,0,34,6
SOS,2022,827,0.0,73981293,6,18.0,119,Minor,66,0,9,23
Open Arms (feat. Travis Scott),2022,1420,4.0,155653938,13,87.0,78,Major,59,1,15,16
White Christmas,1942,11940,0.0,395591396,73,79.0,96,Major,25,0,40,3
Driving Home for Christmas - 2019 Remaster,1986,888,0.0,429504768,50,0.0,180,Major,58,0,18,4
Christmas (Baby Please Come Home),1963,9122,0.0,242767149,121,58.0,126,Major,76,0,8,5
Gone Girl,2022,892,0.0,65362788,3,17.0,150,Major,44,0,15,6
F2F,2022,989,0.0,67540165,5,9.0,90,Major,74,0,34,4
Notice Me,2022,819,0.0,62019074,14,22.0,160,Major,68,0,11,12
Merry Christmas,2017,2209,0.0,135723538,72,90.0,114,Major,94,0,10,4
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),1958,6290,0.0,295998468,89,39.0,113,Major,32,0,15,5
My Only Wish (This Year),2000,6952,0.0,261116938,115,53.0,147,Major,72,0,19,3
Antidepresan,2022,313,2.0,136689549,10,6.0,100,Minor,59,0,10,3
Wild Flower (with youjeen),2022,353,2.0,135611421,2,74.0,155,Major,77,0,12,9
I Hate U,2021,4094,0.0,356709897,66,96.0,107,Minor,39,0,11,16
Raindrops (Insane) [with Travis Scott],2022,880,0.0,110649992,3,7.0,112,Major,54,0,38,5
SPIT IN MY FACE!,2022,573,0.0,301869854,1,0.0,166,Major,57,20,11,7
Deck The Hall - Remastered 1999,1959,3299,0.0,127027715,65,39.0,107,Minor,36,0,8,4
Smoking on my Ex Pack,2022,811,0.0,57144458,6,11.0,81,Major,68,0,22,38
Conceited,2022,899,0.0,56870689,2,14.0,150,Major,46,0,11,7
Snow On The Beach (feat. Lana Del Rey),2022,2415,0.0,323437194,33,57.0,110,Major,32,0,12,4
Maroon,2022,2304,0.0,317726339,12,16.0,108,Major,40,0,10,6
Tubarï¿½ï¿½o Te,2022,1003,0.0,116144341,21,0.0,130,Minor,74,0,7,36
Bejeweled,2022,2699,0.0,328207708,39,35.0,164,Major,56,0,9,7
Tarot,2022,2482,20.0,608228647,27,77.0,114,Minor,68,0,66,4
You Make It Feel Like Christmas (feat. Blake Shelton),2005,2577,0.0,180577478,108,56.0,93,Major,88,0,12,4
Desesperados,2021,6821,34.0,809306935,83,58.0,90,Minor,69,0,9,8
Too Late,2022,714,0.0,49262961,0,9.0,128,Major,68,0,39,8
Party,2022,3185,4.0,614555082,38,64.0,97,Major,80,0,24,9
Run Rudolph Run - Single Version,1958,8612,0.0,245350949,120,30.0,152,Minor,71,0,7,8
Jingle Bells - Remastered 1999,1957,4326,0.0,178660459,32,3.0,175,Major,34,0,10,5
Far,2022,680,0.0,51641685,2,15.0,116,Major,55,0,16,8
On Time (with John Legend),2022,398,0.0,78139948,2,2.0,80,Minor,59,0,44,6
GATï¿½ï¿½,2022,3328,13.0,322336177,39,50.0,93,Minor,86,0,21,39
ýýýabcdefu,2021,7215,0.0,1007612429,170,12.0,122,Major,54,0,37,5
Sacrifice,2022,4440,0.0,326792833,81,77.0,122,Major,79,0,7,10
Is There Someone Else?,2022,2881,6.0,391251368,13,89.0,135,Minor,58,0,16,3
Fingers Crossed,2022,2235,0.0,349585590,65,7.0,109,Major,47,0,31,5
Out of Time,2022,3711,0.0,339659802,49,88.0,93,Minor,74,0,32,5
Do It To It,2021,12403,0.0,674772936,183,63.0,125,Minor,81,5,7,9
We Don't Talk About Bruno,2021,2785,0.0,432719968,95,89.0,206,Minor,45,0,11,8
Pepas,2021,14114,17.0,1309887447,252,109.0,130,Major,77,0,13,3
How Do I Make You Love Me?,2022,1915,0.0,119238316,7,47.0,121,Minor,51,0,9,8
Gasoline,2022,2297,0.0,116903579,11,29.0,123,Minor,73,0,21,5
Infinity,2017,4375,0.0,888046992,24,0.0,122,Minor,67,0,30,4
Less Than Zero,2022,2800,0.0,200660871,18,77.0,143,Major,79,0,8,3
Take My Breath,2021,2597,0.0,130655803,17,80.0,121,Minor,77,0,26,4
good 4 u,2021,15563,6.0,1887039593,259,55.0,166,Minor,66,0,11,18
"Here We Goï¿½ï¿½ï¿½ Again (feat. Tyler, the Cr",2022,1420,0.0,88103848,7,18.0,135,Major,64,0,60,3
Best Friends,2022,1292,0.0,101114984,3,18.0,87,Minor,59,0,35,21
Kiss Me More (feat. SZA),2021,15867,0.0,1575467011,382,65.0,111,Major,66,0,13,3
I Heard You're Married (feat. Lil Wayne),2022,1178,0.0,91656026,9,10.0,110,Major,84,0,31,19
Need To Know,2021,6672,0.0,1042568408,125,36.0,130,Major,61,0,9,7
MONTERO (Call Me By Your Name),2020,12329,0.0,1735441776,275,19.0,179,Minor,51,0,38,15
love nwantiti (ah ah ah),2019,5669,2.0,726837877,74,0.0,93,Minor,73,0,13,4
Dawn FM,2022,811,0.0,53933526,1,8.0,78,Minor,49,0,49,5
Surface Pressure,2021,1756,0.0,267758538,38,48.0,180,Major,58,0,4,31
Starry Eyes,2022,1014,0.0,74601456,1,17.0,86,Minor,41,0,19,3
THATS WHAT I WANT,2021,7963,0.0,920797189,173,7.0,88,Minor,85,0,5,22
One Right Now (with The Weeknd),2021,4771,0.0,539595276,68,18.0,97,Major,78,0,7,5
Beggin,2017,8559,0.0,1367810478,183,64.0,134,Minor,80,0,36,5
Mon Amour - Remix,2020,3221,2.0,578207856,67,13.0,116,Major,76,0,10,10
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),2021,3423,26.0,775542072,61,65.0,170,Minor,70,0,9,8
MONEY,2021,2566,13.0,863625566,44,109.0,140,Minor,55,0,14,23
The Motto,2021,9151,6.0,656013912,240,107.0,118,Minor,76,0,9,4
Happier Than Ever,2021,8476,0.0,1056760045,138,133.0,65,Major,24,0,14,4
Moth To A Flame (with The Weeknd),2021,7495,17.0,611994237,114,172.0,120,Minor,67,0,11,4
traitor,2021,5257,6.0,1230855859,85,43.0,176,Major,33,0,12,5
Toxic,2021,1795,0.0,582981380,34,23.0,180,Minor,61,0,46,36
drivers license,2021,12685,3.0,1858144199,185,61.0,144,Major,43,0,10,7
Malvadï¿½ï¿,2021,648,1.0,240684449,14,3.0,133,Minor,61,0,14,27
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),2021,4635,5.0,583687007,50,49.0,93,Major,52,0,9,3
Donï¿½ï¿½ï¿½t Break My,2022,1184,0.0,63803529,1,5.0,122,Major,62,0,23,3
Oh My God,2021,4431,0.0,466214729,105,7.0,88,Major,73,0,3,5
Entre Nosotros (Remix) [con Nicki Nicole],2022,759,3.0,236940480,32,0.0,170,Minor,44,0,37,4
A Tale By Quincy,2022,733,0.0,41924466,0,2.0,94,Minor,50,0,10,11
I AM WOMAN,2021,2795,0.0,225259194,45,0.0,170,Major,47,0,13,16
Medallo,2021,2780,2.0,393230256,54,21.0,90,Minor,70,0,66,8
It'll Be Okay,2021,1950,0.0,287201015,56,8.0,78,Major,29,0,9,3
Softcore,2018,3947,12.0,599770206,33,102.0,94,Major,58,0,15,3
Super Gremlin,2021,2551,0.0,342779426,52,15.0,73,Major,41,0,36,14
Volvï¿,2021,5375,10.0,673801126,138,24.0,176,Major,86,0,7,18
Todo De Ti,2020,11975,8.0,1168642797,188,75.0,128,Minor,63,1,10,4
Love Nwantiti - Remix,2019,2696,0.0,540539717,42,2.0,120,Major,60,9,5,6
Smokin Out The Window,2021,4963,0.0,383550148,63,40.0,82,Major,62,0,35,4
Meet Me At Our Spot,2020,6734,0.0,530511203,47,14.0,95,Major,47,0,9,3
Every Angel is Terrifying,2022,715,0.0,37307967,0,1.0,118,Major,94,0,4,29
Tacones Rojos,2021,3047,9.0,510876816,77,31.0,123,Minor,86,0,14,3
Peaches (feat. Daniel Caesar & Giveon),2021,14140,0.0,1445941661,231,52.0,90,Major,68,0,42,18
Dakiti,2020,11215,21.0,1763363713,189,166.0,110,Minor,57,0,11,5
"Tiago PZK: Bzrp Music Sessions, Vol. 48",2021,1678,12.0,374191487,20,4.0,96,Minor,82,0,10,32
Lï¿½ï¿½ï¿,2022,2035,0.0,108809090,41,122.0,88,Minor,55,0,23,11
Nostï¿½ï¿½l,2021,2780,2.0,436695353,86,76.0,98,Minor,85,0,24,5
Better Days (NEIKED x Mae Muller x Polo G),2021,4091,0.0,421040617,105,2.0,110,Minor,68,0,14,4
Life Goes On,2020,2868,0.0,501541661,43,15.0,80,Major,49,0,12,8
Sad Girlz Luv Money Remix (feat. Kali Uchis),2021,3643,0.0,354065229,69,3.0,110,Minor,53,0,11,6
Butter,2021,4779,6.0,1143647827,180,135.0,110,Major,36,0,6,11
pushin P (feat. Young Thug),2022,3517,0.0,311395144,54,28.0,78,Minor,42,1,13,19
You Right,2021,5073,0.0,672656250,83,9.0,129,Major,62,0,8,6
deja vu,2021,7545,4.0,1256880657,117,39.0,181,Major,60,0,42,9
Dynamite,2020,8528,5.0,1692897992,239,163.0,114,Minor,77,0,9,10
TO THE MOON,2021,2979,0.0,245095641,44,0.0,144,Major,65,1,11,35
Lost in the Fire,2019,7731,2.0,686734357,110,145.0,101,Major,68,0,12,4
Salimo de Noche,2021,1057,0.0,261414174,17,5.0,84,Major,63,0,12,5
Volando - Remix,2021,3272,19.0,610045621,101,34.0,154,Major,69,0,11,7
Leave The Door Open,2021,14417,0.0,1115880852,237,123.0,148,Major,62,0,9,3
Knife Talk (with 21 Savage ft. Project Pat),2021,5199,0.0,594482982,45,43.0,146,Minor,37,0,7,30
Don't Be Shy,2021,6026,0.0,566954746,171,51.0,120,Minor,79,0,26,6
Love Grows (Where My Rosemary Goes),1970,2877,0.0,566954746,16,0.0,110,Major,69,0,17,3
LA FAMA (with The Weeknd),2021,4640,3.0,374706940,81,93.0,136,Minor,30,0,13,5
The Family Madrigal,2021,1150,0.0,184937148,20,38.0,141,Major,63,0,6,36
Phantom Regret by Jim,2022,768,0.0,31959571,1,1.0,108,Minor,48,30,14,4
Dos Oruguitas,2021,925,0.0,167076418,24,47.0,94,Major,36,0,9,5
Freaks,2015,3006,3.0,824420218,23,21.0,180,Major,94,63,5,5
Acapulco,2021,3098,0.0,363467642,111,5.0,122,Major,79,0,16,5
Daddy Issues,2015,9771,4.0,1127468248,42,70.0,85,Major,52,15,12,3
thought i was playing,2022,807,0.0,60680939,3,0.0,148,Major,73,0,7,7
ELEVEN,2021,521,1.0,247737946,17,89.0,120,Major,73,0,5,11
Mood (feat. Iann Dior),2020,12854,0.0,1699402402,237,27.0,91,Minor,72,0,27,4
What Else Can I Do?,2021,802,0.0,154797871,13,27.0,120,Major,71,0,10,4
DANCE CRIP,2021,731,0.0,198883004,14,14.0,106,Major,79,0,8,9
Miserable Man,2022,788,0.0,124407432,13,0.0,110,Major,35,0,29,3
happier,2021,3069,4.0,850608354,25,46.0,169,Major,45,0,8,13
Praise God,2021,4651,0.0,376333030,24,6.0,118,Major,55,0,26,17
Get Into It (Yuh),2021,4999,0.0,516784627,43,19.0,92,Minor,66,0,9,16
Before You Go,2019,8327,24.0,1608045237,205,130.0,112,Major,60,0,9,6
Sky,2020,3297,3.0,506778838,25,3.0,140,Major,91,0,13,21
Rolling in the Deep,2010,35684,6.0,1472799873,195,125.0,105,Major,76,0,5,3
Sobrio,2021,3506,10.0,513643924,103,76.0,178,Major,77,0,15,22
Peru,2021,2999,0.0,261286503,60,17.0,108,Minor,42,0,8,9
favorite crime,2021,3681,0.0,783706581,20,21.0,173,Major,29,0,34,4
Thunder,2021,4846,10.0,422691058,54,16.0,101,Major,90,0,34,6
The Business,2020,14311,0.0,1062345656,255,32.0,120,Minor,62,2,11,23
positions,2020,8207,0.0,1252563873,175,55.0,144,Major,80,0,9,12
I WANNA BE YOUR SLAVE,2021,4873,0.0,851070493,65,88.0,133,Major,61,0,18,4
Vai Lï¿½ï¿½ Em Casa ,2021,772,0.0,263894529,7,3.0,158,Minor,83,0,97,28
The Feels,2021,1150,0.0,345903614,20,99.0,120,Major,90,0,8,7
HEARTBREAK ANNIVERSARY,2020,5398,4.0,951637566,111,127.0,129,Major,46,0,13,5
No Lie,2016,7370,0.0,956865266,92,127.0,102,Major,89,0,26,13
OUT OUT (feat. Charli XCX & Saweetie),2021,6890,0.0,427486004,122,11.0,124,Minor,84,0,5,5
Pope Is a Rockstar,2016,1966,0.0,156658366,4,2.0,90,Minor,45,24,11,3
2055,2021,2226,0.0,624515457,29,0.0,161,Minor,52,0,12,31
Bored,2017,4204,0.0,777765388,39,45.0,120,Major,33,0,8,5
Happier Than Ever - Edit,2021,1959,0.0,412795151,19,0.0,81,Major,57,0,23,3
Astronaut In The Ocean,2019,7191,0.0,1138474110,146,18.0,150,Minor,70,0,15,9
Ley Seca,2021,2012,0.0,355219175,101,12.0,105,Major,84,0,13,10
Every Summertime,2021,1211,2.0,290228626,30,2.0,79,Major,67,0,6,4
Talking To The Moon,2010,7109,2.0,1062956628,5,0.0,146,Minor,61,0,11,3
you broke me first,2020,6638,0.0,1180094974,167,19.0,124,Major,37,0,9,5
The Nights,2014,17354,8.0,1456081449,92,122.0,126,Major,85,0,24,4
Take My Breath,2021,6392,0.0,432702334,174,73.0,121,Major,74,0,11,5
Way 2 Sexy (with Future & Young Thug),2021,5481,0.0,489945871,144,30.0,136,Minor,60,0,32,14
Cï¿½ï¿½,2021,2636,3.0,465959382,36,82.0,102,Minor,63,0,11,5
Enemy - from the series Arcane League of Legends,2021,824,0.0,1223481149,8,8.0,77,Major,74,0,41,23
Dance Monkey,2019,24529,0.0,2864791672,533,167.0,98,Minor,59,0,18,10
Lucid Dreams,2017,14749,0.0,2288695111,188,34.0,84,Minor,48,0,33,24
Quï¿½ï¿½ Mï¿½ï¿,2021,8087,0.0,720825549,92,34.0,102,Major,82,0,17,11
All of Me,2013,27221,0.0,2086124197,308,118.0,120,Major,26,0,13,3
